code,region,income_group,table_name,notes
"MNE","Europe & Central Asia","Upper middle income","Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators continue to include data for Montenegro through 2005.","Montenegro"
"BLR","Europe & Central Asia","Upper middle income","Data before 2015 were adjusted to reflect the new denomination effective from July 1, 2016 (BYN), a decrease of 10,000 times (1 BYN = 10,000 BYR)","Belarus"
"KHM","East Asia & Pacific","Lower middle income","Cambodia",""
"MAF","Latin America & Caribbean","High income","St. Martin (French part)",""
"ARE","Middle East & North Africa","High income","United Arab Emirates",""
"KIR","East Asia & Pacific","Lower middle income","Kiribati",""
"ROU","Europe & Central Asia","Upper middle income","Romania",""
"NAM","Sub-Saharan Africa","Upper middle income","Fiscal year end: March 31; reporting period for national accounts data: CY.","Namibia"
"GRD","Latin America & Caribbean","Upper middle income","Grenada",""
"LSO","Sub-Saharan Africa","Lower middle income","Fiscal year end: March 31; reporting period for national accounts data: CY.","Lesotho"
"BRB","Latin America & Caribbean","High income","Barbados",""
"PLW","East Asia & Pacific","High income","Fiscal year ends on September 30; reporting period for national accounts data: FY.","Palau"
"AND","Europe & Central Asia","High income","Andorra",""
"IND","South Asia","Lower middle income","Fiscal year end: March 31; reporting period for national accounts data: FY.","India"
"NRU","East Asia & Pacific","Upper middle income","Fiscal year end: June 30; reporting period for national accounts data: FY.","Nauru"
"TGO","Sub-Saharan Africa","Low income","Togo",""
"SUR","Latin America & Caribbean","Upper middle income","Suriname",""
"LTU","Europe & Central Asia","High income","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2015: 1 euro = 3.45280 Lithuanian litas. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries. Based on data from EUROSTAT, the new reference year is 2010.","Lithuania"
"BFA","Sub-Saharan Africa","Low income","Burkina Faso",""
"VIR","Latin America & Caribbean","High income","Virgin Islands (U.S.)",""
"GAB","Sub-Saharan Africa","Upper middle income","Gabon",""
"DEU","Europe & Central Asia","High income","Germany",""
"NIC","Latin America & Caribbean","Lower middle income","Nicaragua",""
"CHI","Europe & Central Asia","High income","Channel Islands",""
"UZB","Europe & Central Asia","Lower middle income","Uzbekistan",""
"JOR","Middle East & North Africa","Upper middle income","Jordan",""
"PRI","Latin America & Caribbean","High income","Fiscal year end: June 30; reporting period for national accounts data: FY.","Puerto Rico"
"JAM","Latin America & Caribbean","Upper middle income","Jamaica",""
"ARG","Latin America & Caribbean","Upper middle income","Argentina",""
"BLZ","Latin America & Caribbean","Upper middle income","Belize",""
"SLE","Sub-Saharan Africa","Low income","Sierra Leone",""
"PRT","Europe & Central Asia","High income","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 200.482 Portuguese escudo. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Portugal"
"CHN","East Asia & Pacific","Upper middle income","On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong; and on 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.","China"
"NLD","Europe & Central Asia","High income","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 2.20371 Netherlands guilder. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Netherlands"
"DOM","Latin America & Caribbean","Upper middle income","Dominican Republic",""
"TZA","Sub-Saharan Africa","Low income","Tanzania",""
"SLV","Latin America & Caribbean","Lower middle income","El Salvador",""
"KOR","East Asia & Pacific","High income","Korea, Rep.",""
"TCD","Sub-Saharan Africa","Low income","Chad",""
"LAO","East Asia & Pacific","Lower middle income","Lao PDR",""
"AFG","South Asia","Low income","Afghanistan",""
"FIN","Europe & Central Asia","High income","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 5.94573 Finnish markka. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Finland"
"ECU","Latin America & Caribbean","Upper middle income","Ecuador",""
"RWA","Sub-Saharan Africa","Low income","Rwanda",""
"UKR","Europe & Central Asia","Lower middle income","Ukraine",""
"BTN","South Asia","Lower middle income","Bhutan",""
"URY","Latin America & Caribbean","High income","Uruguay",""
"DMA","Latin America & Caribbean","Upper middle income","Dominica",""
"VGB","Latin America & Caribbean","High income","British Virgin Islands",""
"MAC","East Asia & Pacific","High income","On 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.","Macao SAR, China"
"GIN","Sub-Saharan Africa","Low income","Guinea",""
"QAT","Middle East & North Africa","High income","Qatar",""
"ZWE","Sub-Saharan Africa","Lower middle income","Zimbabwe",""
"TJK","Europe & Central Asia","Low income","Tajikistan",""
"MEX","Latin America & Caribbean","Upper middle income","Mexico",""
