id,city_id,city_name,state,clinical,clinical_sus,icu,icu_sus,kind,organization
0010359,500270,Campo Grande,MS,8,8,0,0,CENTRO DE ATENCAO PSICOSSOCIAL,MUNICIPIO
0010448,500270,Campo Grande,MS,4,4,0,0,HOSPITAL/DIA - ISOLADO,MUNICIPIO
0010456,530010,Brasília,DF,493,493,76,32,HOSPITAL GERAL,SERVICO SOCIAL AUTONOMO
0010464,530010,Brasília,DF,262,262,39,16,HOSPITAL GERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0010472,530010,Brasília,DF,347,347,20,8,HOSPITAL GERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0010480,530010,Brasília,DF,290,290,44,14,HOSPITAL GERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0010499,530010,Brasília,DF,368,368,39,13,HOSPITAL GERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0010502,530010,Brasília,DF,156,156,48,6,HOSPITAL GERAL,FUNDACAO ESTADUAL OU DO DISTRITO FEDERAL
0010510,530010,Brasília,DF,143,143,31,10,HOSPITAL GERAL,FUNDACAO FEDERAL
0010529,530010,Brasília,DF,57,57,12,0,HOSPITAL GERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0010537,530010,Brasília,DF,92,92,101,81,HOSPITAL GERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0010545,530010,Brasília,DF,88,88,8,0,HOSPITAL GERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0010596,530010,Brasília,DF,3,3,0,0,HOSPITAL/DIA - ISOLADO,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0010618,530010,Brasília,DF,83,83,0,0,HOSPITAL ESPECIALIZADO,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0011738,320530,Vitória,ES,216,105,28,6,HOSPITAL ESPECIALIZADO,ASSOCIACAO PRIVADA
0011746,320530,Vitória,ES,166,132,39,14,HOSPITAL GERAL,ASSOCIACAO PRIVADA
0011800,320530,Vitória,ES,203,203,48,23,HOSPITAL GERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0011843,320530,Vitória,ES,4,3,22,12,HOSPITAL ESPECIALIZADO,ASSOCIACAO PRIVADA
0011991,320530,Vitória,ES,100,0,14,0,HOSPITAL GERAL,ASSOCIACAO PRIVADA
0012017,320530,Vitória,ES,69,69,15,15,HOSPITAL GERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0012041,320530,Vitória,ES,8,8,0,0,CENTRO DE ATENCAO PSICOSSOCIAL,MUNICIPIO
0012505,330330,Niterói,RJ,154,126,59,58,HOSPITAL GERAL,AUTARQUIA FEDERAL
0012513,330330,Niterói,RJ,129,129,9,9,HOSPITAL GERAL,FUNDACAO MUNICIPAL
0012521,330330,Niterói,RJ,135,135,47,30,HOSPITAL GERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0012548,330330,Niterói,RJ,0,0,0,0,HOSPITAL/DIA - ISOLADO,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0012556,330330,Niterói,RJ,53,53,16,16,HOSPITAL GERAL,FUNDACAO MUNICIPAL
0012599,330330,Niterói,RJ,38,38,20,15,HOSPITAL ESPECIALIZADO,FUNDACAO MUNICIPAL
0012610,330330,Niterói,RJ,38,21,0,0,HOSPITAL ESPECIALIZADO,SOCIEDADE EMPRESARIA LIMITADA
0012718,330330,Niterói,RJ,120,120,0,0,HOSPITAL ESPECIALIZADO,FUNDACAO MUNICIPAL
0012769,330330,Niterói,RJ,94,63,0,0,HOSPITAL ESPECIALIZADO,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0012823,330330,Niterói,RJ,155,155,0,0,HOSPITAL ESPECIALIZADO,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0013102,410020,Adrianópolis,PR,3,3,0,0,UNIDADE MISTA,MUNICIPIO
0013129,410030,Agudos do Sul,PR,7,7,0,0,PRONTO ATENDIMENTO,MUNICIPIO
0013633,410400,Campina Grande do Sul,PR,326,295,89,88,HOSPITAL GERAL,ASSOCIACAO PRIVADA
0013838,410420,Campo Largo,PR,108,99,30,28,HOSPITAL GERAL,SOCIEDADE EMPRESARIA LIMITADA
0013846,410420,Campo Largo,PR,615,520,370,333,HOSPITAL GERAL,SOCIEDADE ANONIMA FECHADA
0013854,410420,Campo Largo,PR,20,20,0,0,PRONTO SOCORRO GERAL,MUNICIPIO
0014001,410420,Campo Largo,PR,48,48,0,0,HOSPITAL ESPECIALIZADO,ASSOCIACAO PRIVADA
0014109,410430,Campo Mourão,PR,99,78,68,58,HOSPITAL GERAL,ASSOCIACAO PRIVADA
0014125,410430,Campo Mourão,PR,75,45,17,10,HOSPITAL GERAL,ASSOCIACAO PRIVADA
0014869,410580,Colombo,PR,74,70,0,0,HOSPITAL GERAL,ASSOCIACAO PRIVADA
0015180,410620,Contenda,PR,13,13,0,0,HOSPITAL GERAL,MUNICIPIO
0015245,410690,Curitiba,PR,455,373,103,88,HOSPITAL GERAL,ASSOCIACAO PRIVADA
0015318,410690,Curitiba,PR,167,5,50,4,HOSPITAL GERAL,ASSOCIACAO PRIVADA
0015334,410690,Curitiba,PR,186,135,38,28,HOSPITAL GERAL,ASSOCIACAO PRIVADA
0015369,410690,Curitiba,PR,175,175,50,50,HOSPITAL GERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0015407,410690,Curitiba,PR,177,177,29,29,HOSPITAL GERAL,ASSOCIACAO PRIVADA
0015415,410690,Curitiba,PR,34,34,0,0,HOSPITAL GERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0015423,410690,Curitiba,PR,150,86,24,14,HOSPITAL GERAL,ASSOCIACAO PRIVADA
0015563,410690,Curitiba,PR,308,184,54,46,HOSPITAL GERAL,ASSOCIACAO PRIVADA
0015601,410690,Curitiba,PR,50,25,0,0,HOSPITAL GERAL,FUNDACAO PRIVADA
0015636,410690,Curitiba,PR,22,14,0,0,HOSPITAL GERAL,SOCIEDADE EMPRESARIA LIMITADA
0015644,410690,Curitiba,PR,141,109,14,14,HOSPITAL ESPECIALIZADO,ASSOCIACAO PRIVADA
0015660,410690,Curitiba,PR,6,4,0,0,HOSPITAL GERAL,SOCIEDADE EMPRESARIA LIMITADA
0015717,410690,Curitiba,PR,10,0,15,0,HOSPITAL ESPECIALIZADO,ASSOCIACAO PRIVADA
0015806,410690,Curitiba,PR,49,0,0,0,HOSPITAL ESPECIALIZADO,SOCIEDADE EMPRESARIA LIMITADA
0015962,410690,Curitiba,PR,32,4,2,0,HOSPITAL GERAL,SOCIEDADE ANONIMA FECHADA
0016209,410690,Curitiba,PR,11,4,0,0,HOSPITAL GERAL,SOCIEDADE EMPRESARIA LIMITADA
0016292,410690,Curitiba,PR,199,0,0,0,HOSPITAL ESPECIALIZADO,SOCIEDADE EMPRESARIA LIMITADA
0016365,410690,Curitiba,PR,150,95,0,0,HOSPITAL ESPECIALIZADO,ASSOCIACAO PRIVADA
0016462,410690,Curitiba,PR,17,17,1,1,HOSPITAL ESPECIALIZADO,FUNDACAO PUBLICA DE DIREITO PRIVADO MUNICIPAL
0017574,410765,Fazenda Rio Grande,PR,5,5,0,0,HOSPITAL GERAL,MUNICIPIO
0017612,411125,Itaperuçu,PR,28,26,3,2,HOSPITAL GERAL,SOCIEDADE EMPRESARIA LIMITADA
0017663,411320,Lapa,PR,89,89,0,0,HOSPITAL GERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0017779,411430,Mandirituba,PR,44,44,2,2,HOSPITAL GERAL,MUNICIPIO
0017868,411850,Pato Branco,PR,108,79,25,22,HOSPITAL GERAL,ASSOCIACAO PRIVADA
0017884,411850,Pato Branco,PR,96,89,20,20,HOSPITAL GERAL,ASSOCIACAO PRIVADA
0018090,411915,Pinhais,PR,54,47,1,1,HOSPITAL GERAL,FUNDACAO PRIVADA
0018260,411915,Pinhais,PR,160,160,0,0,HOSPITAL ESPECIALIZADO,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0018333,411915,Pinhais,PR,28,28,0,0,HOSPITAL GERAL,MUNICIPIO
0018368,411950,Piraquara,PR,84,84,0,0,HOSPITAL GERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0018384,411950,Piraquara,PR,400,400,0,0,HOSPITAL ESPECIALIZADO,ASSOCIACAO PRIVADA
0018600,412220,Rio Branco do Sul,PR,30,30,0,0,HOSPITAL GERAL,MUNICIPIO
0018694,412230,Rio Negro,PR,30,27,0,0,HOSPITAL GERAL,ASSOCIACAO PRIVADA
0019194,412760,Tijucas do Sul,PR,14,14,0,0,HOSPITAL GERAL,MUNICIPIO
0019208,412788,Tunas do Paraná,PR,6,6,0,0,UNIDADE MISTA,MUNICIPIO
0019283,420540,Florianópolis,SC,40,40,11,11,HOSPITAL GERAL,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0019305,420540,Florianópolis,SC,42,42,18,8,HOSPITAL GERAL,ASSOCIACAO PRIVADA
0019402,420540,Florianópolis,SC,168,91,30,10,HOSPITAL GERAL,ASSOCIACAO PRIVADA
0019445,420540,Florianópolis,SC,75,75,10,10,HOSPITAL ESPECIALIZADO,ORGAO PUBLICO DO PODER EXECUTIVO ESTADUAL OU DO DISTRITO FEDERAL
0019607,420540,Florianópolis,SC,0,0,0,0,HOSPITAL GERAL,SOCIEDADE EMPRESARIA LIMITADA
0020109,420540,Florianópolis,SC,3,0,0,0,CLINICA/CENTRO DE ESPECIALIDADE,SOCIEDADE SIMPLES LIMITADA
0020516,261160,Recife,PE,21,21,0,0,HOSPITAL GERAL,MUNICIPIO
0020893,292740,Salvador,BA,1,1,0,0,CLINICA/CENTRO DE ESPECIALIDADE,SOCIEDADE EMPRESARIA LIMITADA
0021520,354780,Santo André,SP,30,30,2,2,PRONTO SOCORRO GERAL,MUNICIPIO
0022691,310620,Belo Horizonte,MG,4,4,0,0,CENTRO DE ATENCAO PSICOSSOCIAL,MUNICIPIO
0022799,310620,Belo Horizonte,MG,0,0,0,0,CLINICA/CENTRO DE ESPECIALIDADE,MUNICIPIO
0022837,310620,Belo Horizonte,MG,6,6,0,0,CENTRO DE ATENCAO PSICOSSOCIAL,MUNICIPIO
0023523,310620,Belo Horizonte,MG,6,6,0,0,CENTRO DE ATENCAO PSICOSSOCIAL,MUNICIPIO
0024074,520870,Goiânia,GO,40,40,0,0,HOSPITAL ESPECIALIZADO,ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL
0024228,354780,Santo André,SP,20,20,4,4,PRONTO ATENDIMENTO,MUNICIPIO
0025135,330630,Volta Redonda,RJ,129,129,32,21,HOSPITAL GERAL,AUTARQUIA MUNICIPAL
0025143,330630,Volta Redonda,RJ,116,116,11,7,HOSPITAL GERAL,ORGAO PUBLICO DO PODER EXECUTIVO MUNICIPAL
0025186,330630,Volta Redonda,RJ,45,22,19,5,HOSPITAL GERAL,SOCIEDADE EMPRESARIA LIMITADA
0025399,411320,Lapa,PR,4,4,2,0,HOSPITAL ESPECIALIZADO,MUNICIPIO
0026042,270430,Maceió,AL,1,0,0,0,HOSPITAL ESPECIALIZADO,SOCIEDADE EMPRESARIA LIMITADA
0026050,330630,Volta Redonda,RJ,69,6,27,2,HOSPITAL GERAL,SOCIEDADE ANONIMA FECHADA
0026417,354990,São José dos Campos,SP,43,43,1,1,HOSPITAL GERAL,MUNICIPIO
0026476,280030,Aracaju,SE,2,2,0,0,HOSPITAL/DIA - ISOLADO,SOCIEDADE EMPRESARIA LIMITADA
0026484,280030,Aracaju,SE,1,1,0,0,HOSPITAL/DIA - ISOLADO,SOCIEDADE EMPRESARIA LIMITADA
0026492,280030,Aracaju,SE,2,0,0,0,HOSPITAL/DIA - ISOLADO,SOCIEDADE EMPRESARIA LIMITADA
0026549,280030,Aracaju,SE,1,1,0,0,HOSPITAL/DIA - ISOLADO,SOCIEDADE EMPRESARIA LIMITADA
0026557,280030,Aracaju,SE,2,2,0,0,HOSPITAL/DIA - ISOLADO,SOCIEDADE EMPRESARIA LIMITADA
0026565,280030,Aracaju,SE,2,0,0,0,HOSPITAL/DIA - ISOLADO,EMPRESARIO (INDIVIDUAL)
0026697,310620,Belo Horizonte,MG,5,5,0,0,CENTRO DE ATENCAO PSICOSSOCIAL,FUNDACAO ESTADUAL OU DO DISTRITO FEDERAL
0026719,310620,Belo Horizonte,MG,22,8,0,0,HOSPITAL ESPECIALIZADO,SOCIEDADE ANONIMA FECHADA
0026727,310620,Belo Horizonte,MG,113,0,16,0,HOSPITAL GERAL,SOCIEDADE ANONIMA FECHADA
0026794,310620,Belo Horizonte,MG,70,70,118,85,HOSPITAL ESPECIALIZADO,FUNDACAO PRIVADA
0026808,310620,Belo Horizonte,MG,146,98,20,12,HOSPITAL GERAL,ASSOCIACAO PRIVADA
0026824,310620,Belo Horizonte,MG,101,0,27,0,HOSPITAL GERAL,SOCIEDADE ANONIMA FECHADA
0026840,310620,Belo Horizonte,MG,268,268,52,52,HOSPITAL GERAL,FUNDACAO PRIVADA
0026859,310620,Belo Horizonte,MG,304,62,71,9,HOSPITAL GERAL,FUNDACAO PRIVADA
0026913,310620,Belo Horizonte,MG,130,130,0,0,HOSPITAL ESPECIALIZADO,FUNDACAO ESTADUAL OU DO DISTRITO FEDERAL
0026921,310620,Belo Horizonte,MG,362,362,107,104,HOSPITAL GERAL,FUNDACAO ESTADUAL OU DO DISTRITO FEDERAL
0026948,310620,Belo Horizonte,MG,135,135,22,22,HOSPITAL ESPECIALIZADO,FUNDACAO ESTADUAL OU DO DISTRITO FEDERAL
0026964,310620,Belo Horizonte,MG,95,95,11,11,HOSPITAL GERAL,FUNDACAO ESTADUAL OU DO DISTRITO FEDERAL
0026972,310620,Belo Horizonte,MG,56,56,55,55,HOSPITAL ESPECIALIZADO,FUNDACAO ESTADUAL OU DO DISTRITO FEDERAL
0026999,310620,Belo Horizonte,MG,80,80,0,0,HOSPITAL ESPECIALIZADO,FUNDACAO ESTADUAL OU DO DISTRITO FEDERAL
0027014,310620,Belo Horizonte,MG,775,775,185,185,HOSPITAL GERAL,ASSOCIACAO PRIVADA
0027022,310620,Belo Horizonte,MG,249,249,49,46,HOSPITAL GERAL,FUNDACAO ESTADUAL OU DO DISTRITO FEDERAL
0027049,310620,Belo Horizonte,MG,297,297,103,103,HOSPITAL GERAL,EMPRESA PUBLICA
